"Folder"	"Gene"	"iframe"
"STAMP_v1_Lollipop"	"ABCC9"	1448
"STAMP_v1_Lollipop"	"ABL1"	1450
"STAMP_v1_Lollipop"	"ADAMTS12"	1452
"STAMP_v1_Lollipop"	"AKT1"	1454
"STAMP_v1_Lollipop"	"ALK"	1456
"STAMP_v1_Lollipop"	"AMOT"	1458
"STAMP_v1_Lollipop"	"ASB18"	1460
"STAMP_v1_Lollipop"	"ASTN1"	1462
"STAMP_v1_Lollipop"	"ASTN2"	1464
"STAMP_v1_Lollipop"	"ATP11B"	1466
"STAMP_v1_Lollipop"	"BCL2"	1468
"STAMP_v1_Lollipop"	"BRAF"	1470
"STAMP_v1_Lollipop"	"BRINP3"	1472
"STAMP_v1_Lollipop"	"C14orf177"	1474
"STAMP_v1_Lollipop"	"C6orf118"	1476
"STAMP_v1_Lollipop"	"CA10"	1478
"STAMP_v1_Lollipop"	"CD226"	1480
"STAMP_v1_Lollipop"	"CDH1"	1482
"STAMP_v1_Lollipop"	"CDH12"	1484
"STAMP_v1_Lollipop"	"CDH18"	1486
"STAMP_v1_Lollipop"	"CDH7"	1488
"STAMP_v1_Lollipop"	"CDH9"	1490
"STAMP_v1_Lollipop"	"CDKN2A"	1492
"STAMP_v1_Lollipop"	"CHRM2"	1494
"STAMP_v1_Lollipop"	"CNTNAP2"	1496
"STAMP_v1_Lollipop"	"CNTNAP5"	1498
"STAMP_v1_Lollipop"	"COL22A1"	1500
"STAMP_v1_Lollipop"	"CSMD1"	1502
"STAMP_v1_Lollipop"	"CSMD3"	1504
"STAMP_v1_Lollipop"	"CTNNA2"	1506
"STAMP_v1_Lollipop"	"CTNNB1"	1508
"STAMP_v1_Lollipop"	"CTSS"	1510
"STAMP_v1_Lollipop"	"CUL3"	1512
"STAMP_v1_Lollipop"	"DCAF12L1"	1514
"STAMP_v1_Lollipop"	"DCAF12L2"	1516
"STAMP_v1_Lollipop"	"DCAF4L2"	1518
"STAMP_v1_Lollipop"	"DCC"	1520
"STAMP_v1_Lollipop"	"DDR2"	1522
"STAMP_v1_Lollipop"	"DDX1"	1524
"STAMP_v1_Lollipop"	"DMD"	1526
"STAMP_v1_Lollipop"	"EGFLAM"	1528
"STAMP_v1_Lollipop"	"EGFR"	1530
"STAMP_v1_Lollipop"	"ERBB2"	1532
"STAMP_v1_Lollipop"	"ERBB4"	1534
"STAMP_v1_Lollipop"	"FAM135B"	1536
"STAMP_v1_Lollipop"	"FAM5C"	1538
"STAMP_v1_Lollipop"	"FBN2"	1540
"STAMP_v1_Lollipop"	"FBXL7"	1542
"STAMP_v1_Lollipop"	"FBXW7"	1544
"STAMP_v1_Lollipop"	"FGD1"	1546
"STAMP_v1_Lollipop"	"FGF3"	1548
"STAMP_v1_Lollipop"	"FGFR1"	1550
"STAMP_v1_Lollipop"	"FGFR2"	1552
"STAMP_v1_Lollipop"	"FGFR3"	1554
"STAMP_v1_Lollipop"	"FOXO1"	1556
"STAMP_v1_Lollipop"	"FRYL"	1558
"STAMP_v1_Lollipop"	"GABRA2"	1560
"STAMP_v1_Lollipop"	"GABRA6"	1562
"STAMP_v1_Lollipop"	"GRID1"	1564
"STAMP_v1_Lollipop"	"GRIK3"	1566
"STAMP_v1_Lollipop"	"GRM8"	1568
"STAMP_v1_Lollipop"	"HAX1"	1570
"STAMP_v1_Lollipop"	"HCN1"	1572
"STAMP_v1_Lollipop"	"HRAS"	1574
"STAMP_v1_Lollipop"	"HTR1A"	1576
"STAMP_v1_Lollipop"	"IDH1"	1578
"STAMP_v1_Lollipop"	"IFLTD1"	1580
"STAMP_v1_Lollipop"	"IGFL3"	1582
"STAMP_v1_Lollipop"	"IQCJ-SCHIP1"	1584
"STAMP_v1_Lollipop"	"KCND2"	1586
"STAMP_v1_Lollipop"	"KCNJ3"	1588
"STAMP_v1_Lollipop"	"KCNT2"	1590
"STAMP_v1_Lollipop"	"KDR"	1592
"STAMP_v1_Lollipop"	"KEAP1"	1594
"STAMP_v1_Lollipop"	"KIT"	1596
"STAMP_v1_Lollipop"	"KLHL1"	1598
"STAMP_v1_Lollipop"	"KRAS"	1600
"STAMP_v1_Lollipop"	"LANCL2"	1602
"STAMP_v1_Lollipop"	"LPL"	1604
"STAMP_v1_Lollipop"	"LPPR4"	1606
"STAMP_v1_Lollipop"	"LRFN5"	1608
"STAMP_v1_Lollipop"	"LRP1B"	1610
"STAMP_v1_Lollipop"	"LRRIQ3"	1612
"STAMP_v1_Lollipop"	"LRRTM1"	1614
"STAMP_v1_Lollipop"	"LRRTM4"	1616
"STAMP_v1_Lollipop"	"MAP2K1"	1618
"STAMP_v1_Lollipop"	"MAP2K2"	1620
"STAMP_v1_Lollipop"	"MARCH1"	1622
"STAMP_v1_Lollipop"	"MCCC1"	1624
"STAMP_v1_Lollipop"	"MCF2L2"	1626
"STAMP_v1_Lollipop"	"MCL1"	1628
"STAMP_v1_Lollipop"	"MECOM"	1630
"STAMP_v1_Lollipop"	"MET"	1632
"STAMP_v1_Lollipop"	"MKRN3"	1634
"STAMP_v1_Lollipop"	"MRGPRD"	1636
"STAMP_v1_Lollipop"	"MS4A3"	1638
"STAMP_v1_Lollipop"	"MYC"	1640
"STAMP_v1_Lollipop"	"MYCN"	1642
"STAMP_v1_Lollipop"	"MYD88"	1644
"STAMP_v1_Lollipop"	"MYEOV"	1646
"STAMP_v1_Lollipop"	"NAV3"	1648
"STAMP_v1_Lollipop"	"NCAM1"	1650
"STAMP_v1_Lollipop"	"NETO1"	1652
"STAMP_v1_Lollipop"	"NFE2L2"	1654
"STAMP_v1_Lollipop"	"NKD2"	1656
"STAMP_v1_Lollipop"	"NLRP3"	1658
"STAMP_v1_Lollipop"	"NOTCH1"	1660
"STAMP_v1_Lollipop"	"NRAS"	1662
"STAMP_v1_Lollipop"	"NT5C1A"	1664
"STAMP_v1_Lollipop"	"PABPC4"	1666
"STAMP_v1_Lollipop"	"PAK7"	1668
"STAMP_v1_Lollipop"	"PALB2"	1670
"STAMP_v1_Lollipop"	"PARK2"	1672
"STAMP_v1_Lollipop"	"PDGFRA"	1674
"STAMP_v1_Lollipop"	"PDGFRB"	1676
"STAMP_v1_Lollipop"	"PDYN"	1678
"STAMP_v1_Lollipop"	"PDZRN3"	1680
