Plot_Name,Folder,Label,iframe
gene_count,STAMPEDE,all,3328
site_count,STAMPEDE,all,2549
test_volume,STAMPEDE,all,3322
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,all,2560
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,all,2564
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,all,2567
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,all,2570
specimen_type_count,STAMPEDE/Specimen_Type_Count,all,2573
top_gene_count,STAMPEDE/Top_Gene_Count,all,3324
top_site_count,STAMPEDE/Top_Site_Count,all,3331
top_variant_count,STAMPEDE/Top_Variant_Count,all,2557
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,all,2576
var_type_distribution,STAMPEDE/Var_Type_Distribution,all,4245
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,adrenal,2582
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,adrenal,2584
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,adrenal,2586
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,adrenal,2588
specimen_type_count,STAMPEDE/Specimen_Type_Count,adrenal,2590
test_volume,STAMPEDE/PerTumor_OrderVolume,adrenal,4144
top_gene_count,STAMPEDE/Top_Gene_Count,adrenal,2580
top_variant_count,STAMPEDE/Top_Variant_Count,adrenal,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,adrenal,2592
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,ampulla of vater,2598
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,ampulla of vater,2600
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,ampulla of vater,2602
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,ampulla of vater,2604
specimen_type_count,STAMPEDE/Specimen_Type_Count,ampulla of vater,2606
test_volume,STAMPEDE/PerTumor_OrderVolume,ampulla of vater,4146
top_gene_count,STAMPEDE/Top_Gene_Count,ampulla of vater,2594
top_variant_count,STAMPEDE/Top_Variant_Count,ampulla of vater,2596
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,ampulla of vater,2608
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,anus,2612
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,anus,2614
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,anus,2616
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,anus,2618
specimen_type_count,STAMPEDE/Specimen_Type_Count,anus,2620
test_volume,STAMPEDE/PerTumor_OrderVolume,anus,4148
top_gene_count,STAMPEDE/Top_Gene_Count,anus,2610
top_variant_count,STAMPEDE/Top_Variant_Count,anus,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,anus,2622
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,appendix,2626
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,appendix,2628
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,appendix,2630
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,appendix,2632
specimen_type_count,STAMPEDE/Specimen_Type_Count,appendix,2634
test_volume,STAMPEDE/PerTumor_OrderVolume,appendix,4150
top_gene_count,STAMPEDE/Top_Gene_Count,appendix,2624
top_variant_count,STAMPEDE/Top_Variant_Count,appendix,NA
