histologicalDiagnosis,primaryTumorSite,CTEP.CATEGORY,CTEP.SUBCATEGORY,CTEP.TERM,SHORT.NAME
acute leukemia,bone marrow,Hematopoietic Neoplasm/Leukemia,,,
"acute leukemias of ambiguous lineage:mixed phenotype acute leukemia, b-myeloid, nos",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
acute myeloid leukemia,bone marrow,Hematopoietic Neoplasm/Leukemia,,,
acute myeloid leukemia and related neoplasms,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
acute myeloid leukemia and related neoplasms:acute myeloid leukemia with myelodysplasia-related changes,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
acute myeloid leukemia and related neoplasms:acute myeloid leukemia with recurrent genetic abnormalities:aml with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); cbfb-myh11,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
acute myeloid leukemia and related neoplasms:acute myeloid leukemia with recurrent genetic abnormalities:apl with t(15;17)(q22;q12); pml-rara,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"acute myeloid leukemia and related neoplasms:acute myeloid leukemia, not otherwise specified",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"acute myeloid leukemia and related neoplasms:acute myeloid leukemia, not otherwise specified:acute myelomonocytic leukemia",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"acute myeloid leukemia and related neoplasms:acute myeloid leukemia, not otherwise specified:aml with maturation",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"acute myeloid leukemia and related neoplasms:acute myeloid leukemia, not otherwise specified:aml without maturation",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
acute myeloid leukemia and related neoplasms:myeloid sarcoma,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
acute myeloid leukemia and related neoplasms:therapy-related myeloid neoplasms,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
adenocarcinoma,ampulla of vater,Gastrointestinal Neoplasm,,,
adenocarcinoma,colon and rectum,Colorectal Cancer,,Adenocarcinoma - colon,
adenocarcinoma,colon and rectum,,,Colorectal Cancer,
